S.No,Published Date,Bid Closing Date,Tender Opening Date,Title,Etender Ref,Tender ID,Organisation Chain,Tender Value (INR),Page,Scraped At
63,21-04-2026 17:00,28-04-2026 15:00,29-04-2026 15:05,"Beautification work and PF Sitting Arrangement at Prem Nagar, Goregaon (W) EE/West/MSIB / e-tender / DDR / 18 / 2026-27",,2026_MHADA_1296914_3,Maharashtra Housing and Area Development Authority||Slum Improvement Board - Mumbai,"21,09,705",7,21-04-2026 19:10
64,21-04-2026 17:00,28-04-2026 15:00,29-04-2026 15:05,"Beautification work and PF Sitting Arrangement at Millat Nagar No. 1 and 2, Andheri (W) EE/West/MSIB / e-tender / DDR / 18 / 2026-27",,2026_MHADA_1296914_4,Maharashtra Housing and Area Development Authority||Slum Improvement Board - Mumbai,"21,09,705",7,21-04-2026 19:10
65,21-04-2026 17:00,28-04-2026 15:00,29-04-2026 15:05,"Const. of Drain / Passage Near Shankar Mandir, Mohali Village, Sakinaka, Andheri (E) EE/West/MSIB / e-tender / DDR / 18 / 2026-27",,2026_MHADA_1296914_5,Maharashtra Housing and Area Development Authority||Slum Improvement Board - Mumbai,"21,09,705",7,21-04-2026 19:10
66,21-04-2026 17:00,27-04-2026 10:00,28-04-2026 10:00,ETENDER NOTICE NO 3 GP/SANGVI/15th FC/GPL/12/25-26,,2026_DHULE_1296926_1,RDD-CEO-DHULE||DHULE-Dy. CEO V.P.||SHIRPUR||SANGVI,"3,00,000",7,21-04-2026 19:10
67,21-04-2026 17:00,29-04-2026 17:00,30-04-2026 17:05,Construction of C.C. Road and Under Ground Nali infrount of Dharmaraj Bikkad House to Hanuman Temple E TENDER NOTICE NO- 01/2026-27,,2026_OSMAN_1296928_1,RDD-CEO-OSMANABAD||OSMANABAD-Dy. CEO V.P.||KALAMB||BAHULA,"6,73,619",7,21-04-2026 19:10
68,21-04-2026 17:00,28-04-2026 15:00,29-04-2026 15:05,"Reconstruction of Vyayam Shala Near Samarth Vyayamshala, Chaitanya Nagar, Santacruz (E) EE/West/MSIB / e-tender / DDR / 18 / 2026-27",,2026_MHADA_1296914_6,Maharashtra Housing and Area Development Authority||Slum Improvement Board - Mumbai,"21,09,705",7,21-04-2026 19:10
69,21-04-2026 17:00,27-04-2026 18:00,28-04-2026 18:00,MATERIAL SUPPLY FOR ALL TYPE CONSTRUCTION WORK FOR YEAR 2026-27 AT GP KANDRI NGPZP-GP/Ram_ Kandri/T-25/26-27,,2026_NAGPU_1296929_1,RDD-CEO-NAGPUR||NAGPUR-Dy. CEO V.P.||RAMTEK||KANDRI,0,7,21-04-2026 19:10
70,21-04-2026 17:00,28-04-2026 15:00,29-04-2026 15:05,"Beautification work and PF Sitting Arrangement at Sai Nagar, Borivali (W) EE/West/MSIB / e-tender / DDR / 18 / 2026-27",,2026_MHADA_1296914_7,Maharashtra Housing and Area Development Authority||Slum Improvement Board - Mumbai,"21,09,705",7,21-04-2026 19:10
71,21-04-2026 17:00,28-04-2026 15:00,29-04-2026 15:05,"Const. of Drain / Passage at Irani Chawl, Golibar Road, Khar (E) EE/West/MSIB / e-tender / DDR / 18 / 2026-27",,2026_MHADA_1296914_8,Maharashtra Housing and Area Development Authority||Slum Improvement Board - Mumbai,"21,09,705",8,21-04-2026 19:10
72,21-04-2026 17:00,27-04-2026 18:00,28-04-2026 18:00,Supply Materials For Electrical Work And Water Supply Scheme For yr 2026-27 At GP Kandri NGPZP-GP/Ram_ Kandri/T-25/26-27,,2026_NAGPU_1296929_2,RDD-CEO-NAGPUR||NAGPUR-Dy. CEO V.P.||RAMTEK||KANDRI,0,8,21-04-2026 19:10
73,21-04-2026 17:00,28-04-2026 15:00,29-04-2026 15:05,"Const. of Drain / Passage Near Navjeevan Society, Kandivali (E) EE/West/MSIB / e-tender / DDR / 18 / 2026-27",,2026_MHADA_1296914_9,Maharashtra Housing and Area Development Authority||Slum Improvement Board - Mumbai,"21,09,705",8,21-04-2026 19:10
74,21-04-2026 17:00,05-05-2026 17:00,06-05-2026 17:00,Grant of permission to display advertisement on the hoarding on the vertical face of the obligatory span of Taloja Flyover on Sion Panvel Highway with LED Digital display T 2917,,2026_MSRDC_1296934_1,Maharashtra State Road Development Corporation||Head Office Mumbai,NA,8,21-04-2026 19:10
